ID	Evidences length	Evidences list	Complete evidences
P02976	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
P14738	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2FUW1	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV54	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV64	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV99	1	TM	TM
Q2FVT1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXF4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FXS9	1	SL	SL
Q2FZ08	1	TM	TM
Q2FZE9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZP8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G015	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q53705	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8KQR1	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
Q2FUY2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FWH7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXC3	1	TM	TM
Q2FYQ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZE3	1	TM	TM
Q2FZL3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G093	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0L4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G0R0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G0X2	2	GPI|TM	GPI|TM
Q2G184	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2M2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2U1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2U4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P68805	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FUR9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUU5	1	TM	TM
Q2FUW2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV87	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVE8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVE9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVQ8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FW71	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FW92	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWA0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FWD4	1	SL	SL
Q2FWG4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWI0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWY7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXC8	1	TM	TM
Q2FXJ2	1	PHOBIUS_TM	PHOBIUS_TM
Q2FXT8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXU3	1	TM	TM
Q2FY80	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYF1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYJ6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FYM4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYQ6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYS6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZ64	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZ79	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZ93	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZF0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZJ9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZK0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZK2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZW3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZY8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G010	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G026	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G044	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G090	1	SL	SL
Q2G0D9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G0L5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0W2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G130	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G185	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G1E0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1G5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1G8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1N0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1Q2	1	TM	TM
Q2G2B2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q2G2B9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2C0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2C2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2F6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2I1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2M9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q53700	1	SL	SL
Q7BHL7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q93Q23	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q9KJN3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q9RQP7	1	TM	TM
Q9RQP9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q9ZNI1	1	TM	TM
O08387	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A0I4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0C948	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P52078	1	TM	TM
P60639	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P60643	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P60647	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P72358	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUV5	1	TM	TM
Q2FUW9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FUX0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUX3	1	TM	TM
Q2FUX9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUZ0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FV56	1	TM	TM
Q2FV58	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV72	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV93	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVB8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVC4	1	TM	TM
Q2FVH2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVH6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVI5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVJ1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVJ2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVM4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVN1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVQ4	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q2FVR0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVR8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVS0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVX5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVZ6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FW36	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FW82	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FW84	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
